#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       2.071818017893e+02       6.169136264543e-04      -3.504002670240e-03      -8.009972619195e-09      -3.095546658391e-14       1.272752558013e-04      -2.478747521474e-09      -2.547293249159e-14       1.933316141483e-01      -1.585201994429e-03      -4.551996518666e-01      -1.365948692184e-02      -8.524154055179e-04 
       2.076784097928e+02       6.188004460132e-04      -3.841121817998e-03      -1.209511627007e-08      -9.030712371453e-14       2.708296454412e-04      -1.690164098074e-09      -3.243803274744e-14       1.925444245783e-01      -1.585059962078e-03      -4.565078844902e-01      -1.377534781568e-02      -8.641183024786e-04 
       2.081782583733e+02       6.207015500670e-04      -4.099406175239e-03      -1.606290632435e-08      -1.775991814081e-13       4.017055030312e-04      -5.134092724237e-10      -3.508004078976e-14       1.917521745789e-01      -1.584896635602e-03      -4.578208687990e-01      -1.389259310692e-02      -8.760270441979e-04 
       2.086814060093e+02       6.226171998730e-04      -4.304354678909e-03      -1.972702132806e-08      -2.883549391003e-13       5.192712146211e-04       9.289517071780e-10      -3.193505466218e-14       1.909547832288e-01      -1.584711791176e-03      -4.591386510707e-01      -1.401124965159e-02      -8.881466283574e-04 
       2.091879153061e+02       6.245476736126e-04      -4.472256744819e-03      -2.301408210954e-08      -4.160599728271e-13       6.239299989670e-04       2.528821290201e-09      -2.240056413764e-14       1.901521634397e-01      -1.584505144049e-03      -4.604612850171e-01      -1.413134568021e-02      -9.004822788320e-04 
       2.096978535210e+02       6.264932684963e-04      -4.613700098615e-03      -2.592032085098e-08      -5.539263433698e-13       7.166050310354e-04       4.200051372255e-09      -6.597254740138e-15       1.893442211648e-01      -1.584276364716e-03      -4.617888328590e-01      -1.425291095528e-02      -9.130394676194e-04 
       2.102112931597e+02       6.284543031534e-04      -4.735717309569e-03      -2.847924459890e-08      -6.960141746105e-13       7.984418165436e-04       5.879076714746e-09       1.484827517795e-14       1.885308544915e-01      -1.584025088311e-03      -4.631213665637e-01      -1.437597695050e-02      -9.258239397501e-04 
       2.107283126642e+02       6.304311203902e-04      -4.843103071971e-03      -3.074042557995e-08      -8.377599361927e-13       8.706404836394e-04       7.522300096960e-09       4.102283399360e-14       1.877119525880e-01      -1.583750919823e-03      -4.644589692915e-01      -1.450057705777e-02      -9.388417419328e-04 
       2.112489971922e+02       6.324240903170e-04      -4.939225966163e-03      -3.275696659395e-08      -9.760790244580e-13       9.343651875069e-04       9.102317593400e-09       7.090865543878e-14       1.868873945060e-01      -1.583453436561e-03      -4.658017370352e-01      -1.462674682261e-02      -9.520992551594e-04 
       2.117734394983e+02       6.344336138877e-04      -5.026531609219e-03      -3.457891544155e-08      -1.109218044872e-12       9.906988051446e-04       1.060409065113e-08       1.035148978584e-13       1.860570478252e-01      -1.583132188844e-03      -4.671497804722e-01      -1.475452421191e-02      -9.656032318242e-04 
