# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_ur             14:(.)rho_crit           15:U                     16:U_prime               17:V                     18:V_prime               19:gr.fac. D             20:gr.fac. f          
       8.399689573103e+13       1.070902389368e-25       5.515175871551e-09       1.522810952369e+22       1.416699289572e+04       1.686609102923e-10       1.189983425084e+18       3.184612658983e-09       1.370726083688e+44       1.463206443117e+33       7.906194345637e+33       9.462316675398e+43       1.995445333566e+41       2.318953196655e+44       1.552102902808e-12       3.235256977717e-03       6.721749184603e-67       3.081903109245e-57       7.606318340832e-18       1.999999999992e+00 
       8.341300469814e+13       1.085947497036e-25       5.555193638429e-09       1.501713381078e+22       1.416699289572e+04       1.698415366644e-10       1.181711444969e+18       3.206904947595e-09       1.333008119857e+44       1.432904323893e+33       7.742461849246e+33       9.201944218518e+43       1.940537109513e+41       2.255143078910e+44       1.679101300602e-12       3.342657414382e-03       7.993810754784e-67       3.513566185303e-57       7.713179507202e-18       1.999999999991e+00 
       8.283317249071e+13       1.101203973422e-25       5.593392415904e-09       1.480908103138e+22       1.416699289572e+04       1.710304274210e-10       1.173496966206e+18       3.229353282228e-09       1.296328032822e+44       1.403229743206e+33       7.582120153689e+33       8.948736372444e+43       1.887139782812e+41       2.193088809939e+44       1.811135557684e-12       3.448569188991e-03       9.450873069379e-67       3.988117544906e-57       7.821541966098e-18       1.999999999990e+00 
       8.225737089444e+13       1.116674788044e-25       5.633410182782e-09       1.460391069009e+22       1.416699289572e+04       1.722276404129e-10       1.165339589082e+18       3.251958755204e-09       1.260657263558e+44       1.374169705111e+33       7.425099037533e+33       8.702495990179e+43       1.835211778436e+41       2.132742074442e+44       1.948212106666e-12       3.553013702863e-03       1.111280189449e-66       4.508360564851e-57       7.931426809179e-18       1.999999999990e+00 
       8.168557189121e+13       1.132362952142e-25       5.671608960256e-09       1.440158285260e+22       1.416699289572e+04       1.734332338958e-10       1.157238916666e+18       3.274722466490e-09       1.225968038894e+44       1.345711482806e+33       7.271329733591e+33       8.463031349575e+43       1.784712665371e+41       2.074055886603e+44       2.090337580495e-12       3.656012023432e-03       1.300098181789e-66       5.077216300393e-57       8.042855424421e-18       1.999999999989e+00 
       8.111774765760e+13       1.148271519256e-25       5.711626727134e-09       1.420205813782e+22       1.416699289572e+04       1.746472665331e-10       1.149194554782e+18       3.297645523755e-09       1.192233349885e+44       1.317842613047e+33       7.120744898801e+33       8.230156004061e+43       1.735603125134e+41       2.016984553501e+44       2.237518965921e-12       3.757584171250e-03       1.513840076321e-66       5.697727811956e-57       8.155849500278e-18       1.999999999988e+00 
       8.055387056366e+13       1.164403585830e-25       5.751644494012e-09       1.400529771029e+22       1.416699289572e+04       1.758697973988e-10       1.141206111998e+18       3.320729042422e-09       1.159426930788e+44       1.290550890703e+33       6.973278584735e+33       8.003688637475e+43       1.687844921159e+41       1.961483639540e+44       2.389763436630e-12       3.857749135425e-03       1.754973854767e-66       6.373064650354e-57       8.270431029907e-18       1.999999999988e+00 
       7.999391317146e+13       1.180762291807e-25       5.791662260890e-09       1.381126327258e+22       1.416699289572e+04       1.771008859806e-10       1.133273199601e+18       3.343974145718e-09       1.127523238606e+44       1.263824363398e+33       6.828866208718e+33       7.783452922889e+43       1.641400869027e+41       1.907509931845e+44       2.547078376978e-12       3.956526013938e-03       2.026145965269e-66       7.106527457967e-57       8.386622315445e-18       1.999999999987e+00 
       7.943784823382e+13       1.197350821245e-25       5.831680027768e-09       1.361991705784e+22       1.416699289572e+04       1.783405921825e-10       1.125395431580e+18       3.367381964738e-09       1.096497433204e+44       1.237651326287e+33       6.687444525543e+33       7.569277385326e+43       1.596234807517e+41       1.855021406623e+44       2.709471420004e-12       4.053933336073e-03       2.330191038657e-66       7.901552733791e-57       8.504445972354e-18       1.999999999986e+00 
       7.888564869297e+13       1.214172402933e-25       5.873516784050e-09       1.343122182245e+22       1.416699289572e+04       1.795889763278e-10       1.117572424608e+18       3.390953638491e-09       1.066325357967e+44       1.212020316922e+33       6.548951599772e+33       7.360995268247e+43       1.552311570444e+41       1.803977196440e+44       2.876950478862e-12       4.149992955728e-03       2.670142063430e-66       8.761717763788e-57       8.623924933819e-18       1.999999999986e+00 
       7.833728767921e+13       1.231230311021e-25       5.913534550928e-09       1.324514083881e+22       1.416699289572e+04       1.808460991621e-10       1.109803798022e+18       3.414690313960e-09       1.036983520993e+44       1.186920110237e+33       6.413326778613e+33       7.158444403715e+43       1.509596959286e+41       1.754337558400e+44       3.049523744276e-12       4.244720982840e-03       3.049241039996e-66       9.690745742153e-57       8.745082455213e-18       1.999999999985e+00 
       7.779273850965e+13       1.248527865661e-25       5.955371307209e-09       1.306163788812e+22       1.416699289572e+04       1.821120218562e-10       1.102089173805e+18       3.438593146158e-09       1.008449076800e+44       1.162339713630e+33       6.280510665358e+33       6.961467086133e+43       1.468057716554e+41       1.706063843205e+44       3.227199588464e-12       4.338136544025e-03       3.470950134669e-66       1.069251101110e-56       8.867942118625e-18       1.999999999984e+00 
