#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:dU_nlde               22:dV_nlde            
       2.112489971922e+02       6.324240903170e-04      -2.421754196307e+00       4.287000942417e-03       1.557369576390e-03       3.766467559139e-03       7.996058151508e-06       7.533222224847e-04      -1.816733298413e+00       4.299269815825e-03       5.512853182379e-01       5.810709956996e-01      -2.304501581499e+00       2.686103212464e-03       1.105282001349e-01      -1.915620401608e+00       5.922986828683e-03      -2.299065026302e+00       2.698490199237e-03       1.100821601889e-01      -8.462437671059e-02       5.266820511347e-11 
       2.117734394983e+02       6.344336138877e-04      -2.425978053106e+00       4.289961893866e-03       1.569167099546e-03       3.792113669715e-03       8.104745836522e-06       7.584520361014e-04      -1.819907668103e+00       4.302394403124e-03       5.510996791010e-01       5.807647190322e-01      -2.307602274438e+00       2.678401930760e-03       1.107703895278e-01      -1.919648749164e+00       5.935389412997e-03      -2.302129559222e+00       2.690941396970e-03       1.103216444292e-01      -8.655612966580e-02       5.328711172905e-11 
       2.123017409217e+02       6.364601268765e-04      -2.430234239999e+00       4.292909672917e-03       1.581261532980e-03       3.818520918948e-03       8.217480388266e-06       7.637340979811e-04      -1.823106420607e+00       4.305510144904e-03       5.509125528843e-01       5.804563967017e-01      -2.310719482622e+00       2.670575182413e-03       1.110125239960e-01      -1.923712688736e+00       5.947872563531e-03      -2.305210171394e+00       2.683269716086e-03       1.105610561236e-01      -8.850798558703e-02       5.391611740982e-11 
       2.128340124805e+02       6.385041042900e-04      -2.434523648912e+00       4.295844119800e-03       1.593674584913e-03       3.845690517603e-03       8.334398994137e-06       7.691686534973e-04      -1.826330229944e+00       4.308617204741e-03       5.507238950585e-01       5.801459698953e-01      -2.313853666044e+00       2.662619978655e-03       1.112546026779e-01      -1.927813197330e+00       5.960438671144e-03      -2.308307333557e+00       2.675472287334e-03       1.108003951819e-01      -9.048044599022e-02       5.455551017978e-11 
       2.133703760589e+02       6.405660651704e-04      -2.438847259239e+00       4.298765090435e-03       1.606431042764e-03       3.873633924204e-03       8.455693791648e-06       7.747579970845e-04      -1.829579836167e+00       4.311715799993e-03       5.505336564262e-01       5.798333737449e-01      -2.317005339695e+00       2.654533106223e-03       1.114966272814e-01      -1.931951341446e+00       5.973090372078e-03      -2.311421523614e+00       2.667545970509e-03       1.110396617855e-01      -9.247405692680e-02       5.520559845446e-11 
       2.139109656560e+02       6.426465776729e-04      -2.443206147923e+00       4.301672458342e-03       1.619559083908e-03       3.902372456722e-03       8.581610310436e-06       7.805063949128e-04      -1.832856052982e+00       4.314806205933e-03       5.503417826373e-01       5.795185366377e-01      -2.320175079913e+00       2.646311100614e-03       1.117386023846e-01      -1.936128287401e+00       5.985830576035e-03      -2.314553312322e+00       2.659487421134e-03       1.112788605053e-01      -9.448941422681e-02       5.586671336066e-11 
       2.144559286353e+02       6.447462641853e-04      -2.447601499615e+00       4.304566116563e-03       1.633090424843e-03       3.931937080403e-03       8.712446771874e-06       7.864200426622e-04      -1.836159775416e+00       4.317888758128e-03       5.501482137047e-01       5.792013795171e-01      -2.323363530650e+00       2.637950218205e-03       1.119805356995e-01      -1.940345311805e+00       5.998662494116e-03      -2.317703317324e+00       2.651293002636e-03       1.115179980561e-01      -9.652716882893e-02       5.653921117163e-11 
       2.150054268718e+02       6.468658060889e-04      -2.452034615920e+00       4.307445979340e-03       1.647060246348e-03       3.962368255572e-03       8.848553191579e-06       7.925070352132e-04      -1.839491986821e+00       4.320963851338e-03       5.499528836767e-01       5.788818152654e-01      -2.326571408919e+00       2.629446408854e-03       1.122224382517e-01      -1.944603811281e+00       6.011589664091e-03      -2.320872232350e+00       2.642958787012e-03       1.117570846257e-01      -9.858803180613e-02       5.722347573346e-11 
       2.155596376314e+02       6.490059475286e-04      -2.456506922592e+00       4.310311983376e-03       1.661506789776e-03       3.993715712770e-03       8.990329065522e-06       7.987773217495e-04      -1.842853764319e+00       4.324031933346e-03       5.497557204783e-01       5.785597482254e-01      -2.329799508632e+00       2.620795291607e-03       1.124643244045e-01      -1.948905310278e+00       6.024615969282e-03      -2.324060835026e+00       2.634480534881e-03       1.119961341026e-01      -1.006727784639e-01       5.791992067484e-11 
       2.161187539481e+02       6.511674972717e-04      -2.461019972575e+00       4.313164088151e-03       1.676470483774e-03       4.026037991048e-03       9.138218202326e-06       8.052426134488e-04      -1.846246281135e+00       4.327093490704e-03       5.495566460872e-01       5.782350740393e-01      -2.333048701300e+00       2.611992137479e-03       1.127062116316e-01      -1.953251464993e+00       6.037745645447e-03      -2.327269958586e+00       2.625853644377e-03       1.122351624641e-01      -1.027822505977e-01       5.862899108427e-11 
       2.166829841873e+02       6.533513274367e-04      -2.465575442573e+00       4.316002274642e-03       1.691992448531e-03       4.059401537150e-03       9.292699132574e-06       8.119162033096e-04      -1.849670804046e+00       4.330149024393e-03       5.493555771852e-01       5.779076799372e-01      -2.336319932019e+00       2.603031864730e-03       1.129481199182e-01      -1.957644061076e+00       6.050983268560e-03      -2.330500540291e+00       2.617073203922e-03       1.124741897320e-01      -1.049173556916e-01       5.935116422004e-11 
       2.172525504410e+02       6.555583676920e-04      -2.470175120080e+00       4.318826541210e-03       1.708112274011e-03       4.093879137402e-03       9.454269776347e-06       8.188126524732e-04      -1.853128683658e+00       4.333199013061e-03       5.491524264187e-01       5.775774457257e-01      -2.339614208583e+00       2.593909053124e-03       1.131900706593e-01      -1.962085002154e+00       6.064333715202e-03      -2.333753540534e+00       2.608133923669e-03       1.127132355152e-01      -1.070790616439e-01       6.008694872898e-11 
       2.178276854542e+02       6.577895937258e-04      -2.474820878628e+00       4.321636894836e-03       1.724865151759e-03       4.129547478851e-03       9.623426258407e-06       8.259473023503e-04      -1.856621335791e+00       4.336243866024e-03       5.489471043904e-01       5.772442455976e-01      -2.342932582308e+00       2.584617983161e-03       1.134320849652e-01      -1.966576286863e+00       6.077802088861e-03      -2.337030011406e+00       2.599030268554e-03       1.129523215912e-01      -1.092683857869e-01       6.083688188498e-11 
       2.184086280775e+02       6.600460099128e-04      -2.479514641010e+00       4.324433334762e-03       1.742278883349e-03       4.166483786027e-03       9.800638968995e-06       8.333356018400e-04      -1.860150213809e+00       4.339283874351e-03       5.487395221625e-01       5.769079508077e-01      -2.346276120486e+00       2.575152701836e-03       1.136741814119e-01      -1.971119974095e+00       6.091393612102e-03      -2.340330971748e+00       2.589756408903e-03       1.131914649729e-01      -1.114863780562e-01       6.160152470869e-11 
       2.189956180052e+02       6.623286290876e-04      -2.484258336768e+00       4.327215824034e-03       1.760372198002e-03       4.204761887465e-03       9.986335943610e-06       8.409923205172e-04      -1.863716776614e+00       4.342319185061e-03       5.485295936705e-01       5.765684327260e-01      -2.349645875184e+00       2.565507103869e-03       1.139163735961e-01      -1.975718142399e+00       6.105113502734e-03      -2.343657484602e+00       2.580306418851e-03       1.134306807404e-01      -1.137341011098e-01       6.238145584474e-11 
       2.195888922024e+02       6.646384587573e-04      -2.489053873172e+00       4.329984242201e-03       1.779157498836e-03       4.244448954225e-03       1.018091717827e-05       8.489308963701e-04      -1.867322466804e+00       4.345349850092e-03       5.483172362190e-01       5.762255649214e-01      -2.353042862040e+00       2.555674989133e-03       1.141586684977e-01      -1.980372862219e+00       6.118966890011e-03      -2.347010520760e+00       2.570674208774e-03       1.136699747884e-01      -1.160126165832e-01       6.317726735360e-11 
       2.201886885529e+02       6.669765153832e-04      -2.493903164545e+00       4.332738309333e-03       1.798654060309e-03       4.285605869704e-03       1.038484777544e-05       8.571635102204e-04      -1.870968732809e+00       4.348376050984e-03       5.481023655265e-01       5.758792210586e-01      -2.356468080570e+00       2.545650001723e-03       1.144010678296e-01      -1.985086224682e+00       6.132958899558e-03      -2.350391092032e+00       2.560853611074e-03       1.139093505331e-01      -1.183229989618e-01       6.398957007630e-11 
       2.207952677725e+02       6.693439100983e-04      -2.498808309026e+00       4.335477467402e-03       1.818922408920e-03       4.328297247564e-03       1.059891876935e-05       8.657030907343e-04      -1.874657162190e+00       4.351398675765e-03       5.478848783497e-01       5.755292623178e-01      -2.359922637821e+00       2.535425256219e-03       1.146435765492e-01      -1.989860514420e+00       6.147095162692e-03      -2.353800240359e+00       2.550837919575e-03       1.141488106055e-01      -1.206664203969e-01       6.481902439531e-11 
       2.214089737983e+02       6.717420855200e-04      -2.503772076343e+00       4.338200697808e-03       1.840137926647e-03       4.372622173011e-03       1.082483056702e-05       8.745694660496e-04      -1.878389849490e+00       4.354420548134e-03       5.476646108967e-01       5.751755027556e-01      -2.363408087927e+00       2.524992286955e-03       1.148862259056e-01      -1.994698687516e+00       6.161383216900e-03      -2.357239466913e+00       2.540619073420e-03       1.143883836723e-01      -1.230443864031e-01       6.566642616959e-11 
       2.220303613804e+02       6.741733174649e-04      -2.508798939272e+00       4.340907747304e-03       1.862564693033e-03       4.418774714898e-03       1.106505585196e-05       8.838014670580e-04      -1.882170173478e+00       4.357445394566e-03       5.474412933907e-01       5.748176362598e-01      -2.366927145315e+00       2.514338785911e-03       1.151291209253e-01      -1.999605385008e+00       6.175835458459e-03      -2.360711272055e+00       2.530185456894e-03       1.146281625755e-01      -1.254592373418e-01       6.653289190388e-11 
       2.226599953860e+02       6.766399336690e-04      -2.513893452208e+00       4.343599798056e-03       1.886284655436e-03       4.466998086270e-03       1.132081412384e-05       8.934477489520e-04      -1.886001575857e+00       4.360473301012e-03       5.472147059921e-01       5.744553524663e-01      -2.370482534732e+00       2.503451931594e-03       1.153723581874e-01      -2.004585358659e+00       6.190464457335e-03      -2.364218362231e+00       2.519524600226e-03       1.148682445076e-01      -1.279133770065e-01       6.741959043704e-11 
       2.232983605090e+02       6.791439599948e-04      -2.519059520952e+00       4.346277018361e-03       1.911359678246e-03       4.517513084766e-03       1.159330756134e-05       9.035524830923e-04      -1.889887011215e+00       4.363504891000e-03       5.469846654105e-01       5.740883885940e-01      -2.374076481291e+00       2.492319959225e-03       1.156159908479e-01      -2.009642756846e+00       6.205280862351e-03      -2.367762961590e+00       2.508624825605e-03       1.151086855443e-01      -1.304089195966e-01       6.832761620950e-11 
