# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.34
# for k=1.04216e-05 to 1.08687 h/Mpc,
# number of wavenumbers equal to 604
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.139066131515e-03      -2.421199352529e+00      -5.602712450934e+00      -5.603488069195e+00      -2.342801158461e+00      -5.436667682400e+00      -5.599880659710e+00      -6.750629549057e-05       1.007324277623e-03       1.007529556972e-03      -7.503962789031e-05       9.893023379365e-04       1.006192842961e-03 
       1.214119819148e-03      -2.378753112423e+00      -6.193288205147e+00      -6.194214267545e+00      -2.296052255884e+00      -5.981340892997e+00      -6.189834341379e+00      -4.992995818939e-05       1.142911217557e-03       1.143150329807e-03      -5.457123560729e-05       1.119956768454e-03       1.141652936457e-03 
       1.292817376789e-03      -2.353694147465e+00      -6.851432269387e+00      -6.852526880934e+00      -2.268204630481e+00      -6.582430485845e+00      -6.847278579188e+00      -2.308273203371e-05       1.293993027003e-03       1.294268415353e-03      -2.415334896891e-05       1.264915213759e-03       1.292597723079e-03 
       1.375038907064e-03      -2.350925017263e+00      -7.581307600642e+00      -7.582588590389e+00      -2.264151151080e+00      -7.242029743569e+00      -7.576367327174e+00       8.097231088389e-06       1.461521420217e-03       1.461835160326e-03       1.106187835131e-05       1.424909583615e-03       1.459970855247e-03 
       1.460635246729e-03      -2.370660933413e+00      -8.386715825499e+00      -8.388200663963e+00      -2.283896747398e+00      -7.961691581316e+00      -8.380888592558e+00       3.614550339731e-05       1.646364739051e-03       1.646718626825e-03       4.337044656873e-05       1.600569143099e-03       1.644629819588e-03 
       1.549434608876e-03      -2.407463147760e+00      -9.271071566901e+00      -9.272777541635e+00      -2.321663539084e+00      -8.742433041211e+00      -9.264238334597e+00       5.256685578028e-05       1.849301700798e-03       1.849697434019e-03       6.409194588895e-05       1.792417113562e-03       1.847341507947e-03 
       1.641249474603e-03      -2.450780116175e+00      -1.023733978976e+01      -1.023928485103e+01      -2.366559118697e+00      -9.584723925684e+00      -1.022935915244e+01       5.027735958138e-05       2.071008659416e-03       2.071448083970e-03       6.608654304422e-05       2.000861739294e-03       2.068772360606e-03 
       1.735883189233e-03      -2.487264184040e+00      -1.128804522583e+01      -1.129024916496e+01      -2.405051735951e+00      -1.048854094618e+01      -1.127875219732e+01       2.638022680483e-05       2.312061239205e-03       2.312546610653e-03       4.655006000234e-05       2.226201417071e-03       2.309493181522e-03 
       1.833135856926e-03      -2.504448882034e+00      -1.242528261508e+01      -1.242776855853e+01      -2.424759485555e+00      -1.145342801656e+01      -1.241449105553e+01      -1.574485649226e-05       2.572936752581e-03       2.573470953478e-03       9.030493258074e-06       2.468630505928e-03       2.569983874904e-03 
       1.932809287215e-03      -2.494751643404e+00      -1.365073926369e+01      -1.365353529647e+01      -2.418452008746e+00      -1.247856740909e+01      -1.363824802133e+01      -6.613847252371e-05       2.854019373176e-03       2.854606036175e-03      -3.643276299287e-05       2.728247361395e-03       2.850638831662e-03 
       2.034710895449e-03      -2.458386539148e+00      -1.496572628437e+01      -1.496886696890e+01      -2.386815542020e+00      -1.356285499125e+01      -1.495132786110e+01      -1.104200184101e-04       3.155607251968e-03       3.156250765375e-03      -7.566671622992e-05       3.005063563362e-03       3.151771429437e-03 
       2.138656576439e-03      -2.403914879767e+00      -1.637121490947e+01      -1.637474247075e+01      -2.338739929558e+00      -1.470497327342e+01      -1.635470438038e+01      -1.341877865126e-04       3.477920770573e-03       3.478626177868e-03      -9.489580582711e-05       3.299013420189e-03       3.473617156811e-03 
