#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]      
       2.225192294144e+02       6.748450185094e-04      -2.513139844747e+00       4.343922787826e-03       1.865483639480e-03       4.424509664978e-03       1.108892198342e-05       8.849485897677e-04      -1.885431137172e+00       4.360588292240e-03       5.470933957670e-01       5.744884169910e-01      -2.369967374994e+00       2.505328728246e-03       1.153326377597e-01      -2.003827498598e+00       6.189373542116e-03      -2.365286976480e+00       2.517317344468e-03       1.149600111638e-01 
       2.231496002576e+02       6.773096305193e-04      -2.518247196553e+00       4.346574459841e-03       1.889420605533e-03       4.473062286468e-03       1.134706759684e-05       8.946607385639e-04      -1.889272262946e+00       4.363580057603e-03       5.468656109386e-01       5.741246192838e-01      -2.373523669175e+00       2.494339876923e-03       1.155737657173e-01      -2.008825107504e+00       6.204013713372e-03      -2.368806380977e+00       2.506502138050e-03       1.151988537910e-01 
       2.237887809398e+02       6.798118769402e-04      -2.523426814152e+00       4.349210868984e-03       1.914718812019e-03       4.523945911689e-03       1.162212479930e-05       9.048392165772e-04      -1.893167959688e+00       4.366575258955e-03       5.466343343274e-01       5.737560788216e-01      -2.377118828067e+00       2.483103222611e-03       1.158152624464e-01      -2.013900954732e+00       6.218842983325e-03      -2.372363806276e+00       2.495444113790e-03       1.154380383257e-01 
       2.244372991926e+02       6.823539605549e-04      -2.528682955484e+00       4.351831842201e-03       1.941464087112e-03       4.577370590645e-03       1.191560561025e-05       9.155260473187e-04      -1.897121448834e+00       4.369575139149e-03       5.463993652556e-01       5.733825086397e-01      -2.380755261962e+00       2.471605830148e-03       1.160571812272e-01      -2.019059572930e+00       6.233872930642e-03      -2.375961602025e+00       2.484130645324e-03       1.156776164780e-01 
       2.250957241945e+02       6.849382596762e-04      -2.534020212859e+00       4.354437113844e-03       1.969757288933e-03       4.633550419938e-03       1.222923653471e-05       9.267640655300e-04      -1.901136205485e+00       4.372581084650e-03       5.461604847640e-01       5.730035995185e-01      -2.384435561119e+00       2.459833681713e-03       1.162995770429e-01      -2.024305857218e+00       6.249116031098e-03      -2.379602316999e+00       2.472548075636e-03       1.159176427780e-01 
       2.257646700652e+02       6.875673433776e-04      -2.539443540950e+00       4.357026334595e-03       1.999712600007e-03       4.692709082099e-03       1.256495485438e-05       9.385980253396e-04      -1.905215979792e+00       4.375594579120e-03       5.459174547900e-01       5.726190181630e-01      -2.388162509003e+00       2.447771574964e-03       1.165425062326e-01      -2.029645096798e+00       6.264585731029e-03      -2.383288653274e+00       2.460681556886e-03       1.161581713718e-01 
       2.270232313667e+02       6.925232632956e-04      -2.549648973028e+00       4.361739053429e-03       2.059506817878e-03       4.809952477822e-03       1.324663522686e-05       9.620513214782e-04      -1.912893948987e+00       4.381156558646e-03       5.454277959573e-01       5.718965176683e-01      -2.395140848965e+00       2.424801082790e-03       1.169903644375e-01      -2.039715255747e+00       6.293644219808e-03      -2.390661844388e+00       2.436522813636e-03       1.166315474182e-01 
       2.271637335911e+02       6.930773009021e-04      -2.550788420410e+00       4.362252485956e-03       2.066468935325e-03       4.823538104740e-03       1.332701731213e-05       9.647689994951e-04      -1.913751269629e+00       4.381768422983e-03       5.453764534356e-01       5.718159458694e-01      -2.395917147201e+00       2.422214399129e-03       1.170396130099e-01      -2.040841469796e+00       6.296884471039e-03      -2.391430751599e+00       2.433970558333e-03       1.166803112604e-01 
       2.273047584464e+02       6.936335554510e-04      -2.551932132745e+00       4.362765189429e-03       2.073516199429e-03       4.837276772741e-03       1.340859845956e-05       9.675172957123e-04      -1.914611813137e+00       4.382380905455e-03       5.453249039080e-01       5.717350918552e-01      -2.396695775391e+00       2.419613600264e-03       1.170888928443e-01      -2.041972278343e+00       6.300136016468e-03      -2.392201956840e+00       2.431404392339e-03       1.167291052756e-01 
       2.274463127356e+02       6.941920555258e-04      -2.553080164896e+00       4.363277166793e-03       2.080649967736e-03       4.851170869560e-03       1.349140254870e-05       9.702966879140e-04      -1.915475621085e+00       4.382994001647e-03       5.452731446873e-01       5.716539519483e-01      -2.397476763883e+00       2.416998514581e-03       1.171382044383e-01      -2.043107740294e+00       6.303399004441e-03      -2.392975488515e+00       2.428824145087e-03       1.167779298757e-01 
