# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       8.697823467967e+13       9.987467286928e-26       5.326000973582e-09       1.632828264260e+22       1.418607626259e+04       1.630991513548e-10       1.233879870351e+18       3.075455533519e-09       1.575941485518e+44       1.628997344115e+33       8.712390289874e+33       3.626315905447e+43       3.511370374088e-08       7.275550643998e+43       2.666128140566e+44       7.093820054004e-18       1.999999999996e+00 
       8.637361934426e+13       1.012778121484e-25       5.364199751057e-09       1.610206473514e+22       1.418607626259e+04       1.642408454143e-10       1.225302751094e+18       3.096983722254e-09       1.532576655259e+44       1.595261795746e+33       8.531961963764e+33       3.526531379721e+43       3.511370374088e-08       7.075350940128e+43       2.592764887345e+44       7.193481131943e-18       1.999999999995e+00 
       8.577320689599e+13       1.027006641313e-25       5.402398528531e-09       1.587898093202e+22       1.418607626259e+04       1.653905313322e-10       1.216785254314e+18       3.118662608309e-09       1.490405085360e+44       1.562224890151e+33       8.355270199007e+33       3.429492602527e+43       3.511370374088e-08       6.880660086845e+43       2.521420354396e+44       7.294542348365e-18       1.999999999994e+00 
       8.517696811915e+13       1.041435057617e-25       5.438778316602e-09       1.565898781225e+22       1.418607626259e+04       1.665482650515e-10       1.208326965555e+18       3.140493246567e-09       1.449393941140e+44       1.529872158861e+33       8.182237613683e+33       3.335124019715e+43       3.511370374088e-08       6.691326498335e+43       2.452038993043e+44       7.397023373817e-18       1.999999999994e+00 
       8.458487400115e+13       1.056066178741e-25       5.476977094077e-09       1.544204255638e+22       1.418607626259e+04       1.677141029069e-10       1.199927473242e+18       3.162476699293e-09       1.409511291427e+44       1.498189433041e+33       8.012788428402e+33       3.243352156143e+43       3.511370374088e-08       6.507202759940e+43       2.384566783130e+44       7.500944155196e-18       1.999999999993e+00 
       8.399689573103e+13       1.070902852486e-25       5.515175871551e-09       1.522810293820e+22       1.418607626259e+04       1.688881016272e-10       1.191586368661e+18       3.184614036188e-09       1.370726083688e+44       1.467162837285e+33       7.846848433117e+33       3.154105558466e+43       3.511370374088e-08       6.328145513375e+43       2.318951190965e+44       7.606324919632e-18       1.999999999992e+00 
       8.341300469814e+13       1.085947966661e-25       5.555193638429e-09       1.501712731654e+22       1.418607626259e+04       1.700703183386e-10       1.183303245940e+18       3.206906334441e-09       1.333008119857e+44       1.436778783534e+33       7.684344954631e+33       3.067314739506e+43       3.511370374088e-08       6.154015345115e+43       2.255141128410e+44       7.713186178427e-18       1.999999999991e+00 
       8.283317249071e+13       1.101204449644e-25       5.593392415904e-09       1.480907462710e+22       1.418607626259e+04       1.712608105670e-10       1.175077702026e+18       3.229354678782e-09       1.296328032822e+44       1.407023965134e+33       7.525206824762e+33       2.982912124148e+43       3.511370374088e-08       5.984676677847e+43       2.193086913111e+44       7.821548731047e-18       1.999999999991e+00 
       8.225737089444e+13       1.116675270957e-25       5.633410182782e-09       1.460390437455e+22       1.418607626259e+04       1.724596362409e-10       1.166909336669e+18       3.251960161533e-09       1.260657263558e+44       1.377885351002e+33       7.369364349178e+33       2.900831996726e+43       3.511370374088e-08       5.819997664905e+43       2.132740229809e+44       7.931433669169e-18       1.999999999990e+00 
       8.168557189121e+13       1.132363441839e-25       5.671608960256e-09       1.440157662455e+22       1.418607626259e+04       1.736668536946e-10       1.158797752402e+18       3.274723882664e-09       1.225968038894e+44       1.349350179920e+33       7.216749276875e+33       2.821010449858e+43       3.511370374088e-08       5.659850087622e+43       2.074054092728e+44       8.042862380787e-18       1.999999999989e+00 
       8.111774765760e+13       1.148272015833e-25       5.711626727134e-09       1.420205199606e+22       1.418607626259e+04       1.748825216705e-10       1.150742554520e+18       3.297646949843e-09       1.192233349885e+44       1.321405954948e+33       7.067294770286e+33       2.743385334687e+43       3.511370374088e-08       5.504109255494e+43       2.016982808987e+44       8.155856554374e-18       1.999999999988e+00 
       8.055387056366e+13       1.164404089384e-25       5.751644494012e-09       1.400529165362e+22       1.418607626259e+04       1.761066993222e-10       1.142743351063e+18       3.320730478491e-09       1.159426930788e+44       1.294040437951e+33       6.920935376008e+33       2.667896212492e+43       3.511370374088e-08       5.352653909097e+43       1.961481943029e+44       8.270438183105e-18       1.999999999988e+00 
       7.999391317146e+13       1.180762802435e-25       5.791662260890e-09       1.381125729982e+22       1.418607626259e+04       1.773394462174e-10       1.134799752793e+18       3.343975591841e-09       1.127523238606e+44       1.267241644237e+33       6.777606996142e+33       2.594484307630e+43       3.511370374088e-08       5.205366125677e+43       1.907508282017e+44       8.386629569139e-18       1.999999999987e+00 
       7.943784823382e+13       1.197351339047e-25       5.831680027768e-09       1.361991116782e+22       1.418607626259e+04       1.785808223409e-10       1.126911373181e+18       3.367383420983e-09       1.096497433204e+44       1.240997837309e+33       6.637246860213e+33       2.523092461775e+43       3.511370374088e-08       5.062131227332e+43       1.855019802193e+44       8.504453327955e-18       1.999999999986e+00 
       7.888564869297e+13       1.214172928009e-25       5.873516784050e-09       1.343121601404e+22       1.418607626259e+04       1.798308880973e-10       1.119077828382e+18       3.390955104930e-09       1.066325357967e+44       1.215297523727e+33       6.499793497688e+33       2.453665089416e+43       3.511370374088e-08       4.922837691730e+43       1.803975636159e+44       8.623932392759e-18       1.999999999986e+00 
       7.833728767921e+13       1.231230843474e-25       5.913534550928e-09       1.324513511087e+22       1.418607626259e+04       1.810897043140e-10       1.111298737222e+18       3.414691790664e-09       1.036983520993e+44       1.190129448075e+33       6.365186711051e+33       2.386148134572e+43       3.511370374088e-08       4.787377065269e+43       1.754336041052e+44       8.745090018944e-18       1.999999999985e+00 
       7.779273850965e+13       1.248528405594e-25       5.955371307209e-09       1.306163223954e+22       1.418607626259e+04       1.823573322442e-10       1.103573721174e+18       3.438594633199e-09       1.008449076800e+44       1.165482588025e+33       6.233367549438e+33       2.320489028711e+43       3.511370374088e-08       4.655643878645e+43       1.706062367610e+44       8.867949788619e-18       1.999999999984e+00 
       7.725197468684e+13       1.266068981165e-25       5.997208063491e-09       1.288067168307e+22       1.418607626259e+04       1.836338335699e-10       1.095902404343e+18       3.462664795631e-09       9.806998085426e+43       1.141346149520e+33       6.104278282823e+33       2.256636649817e+43       3.511370374088e-08       4.527535564727e+43       1.659117030070e+44       8.992535615198e-18       1.999999999984e+00 
       7.671496989756e+13       1.283855984281e-25       6.039044819772e-09       1.270221821931e+22       1.418607626259e+04       1.849192704049e-10       1.088284413449e+18       3.486903449200e-09       9.537141107086e+43       1.117709562037e+33       5.977862376736e+33       2.194541282588e+43       3.511370374088e-08       4.402952378702e+43       1.613463476909e+44       9.118871748055e-18       1.999999999983e+00 
       7.618169801148e+13       1.301892877004e-25       6.080881576054e-09       1.252623711409e+22       1.418607626259e+04       1.862137052977e-10       1.080719377804e+18       3.511311773344e-09       9.274709723012e+43       1.094562473965e+33       5.854064467497e+33       2.134154579725e+43       3.511370374088e-08       4.281797320412e+43       1.569066162384e+44       9.246982777243e-18       1.999999999983e+00 
       7.565213307992e+13       1.320183170033e-25       6.124537321739e-09       1.235269411448e+22       1.418607626259e+04       1.875172012348e-10       1.073206929299e+18       3.535890955758e-09       9.019499604785e+43       1.071894748068e+33       5.732830337979e+33       2.075429524292e+43       3.511370374088e-08       4.163976058830e+43       1.525890518859e+44       9.376893638279e-18       1.999999999982e+00 
       7.512624933457e+13       1.338730423389e-25       6.166374078020e-09       1.218155544208e+22       1.418607626259e+04       1.888298216435e-10       1.065746702383e+18       3.560642192448e-09       8.771312046443e+43       1.049696457045e+33       5.614106893856e+33       2.018320393108e+43       3.511370374088e-08       4.049396858618e+43       1.483902929884e+44       9.508629617002e-18       1.999999999981e+00 
       7.460402118627e+13       1.357538247107e-25       6.210029823706e-09       1.201278778647e+22       1.418607626259e+04       1.901516303950e-10       1.058338334044e+18       3.585566687795e-09       8.529953809772e+43       1.027957879184e+33       5.497842140354e+33       1.962782721146e+43       3.511370374088e-08       3.937970508694e+43       1.443070704026e+44       9.642216354490e-18       1.999999999981e+00 
