#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       2.250957241945e+02       6.849382596762e-04      -6.531500624369e-03      -7.362395295488e-08      -4.332076772126e-12       1.535919361027e-03       3.466177904756e-08       1.013147296896e-12       1.649904809865e-01      -1.568239816356e-03      -4.999323544692e-01      -1.824085133197e-02      -1.363548865046e-03 
       2.257646700652e+02       6.875673433776e-04      -6.624351173941e-03      -7.675891174321e-08      -4.627422823680e-12       1.555455032481e-03       3.613521113137e-08       1.084513586237e-12       1.639417881350e-01      -1.567113970289e-03      -5.014859377071e-01      -1.842783677370e-02      -1.386503946952e-03 
       2.270232313667e+02       6.925232632956e-04      -6.809048221134e-03      -8.326675202795e-08      -5.261906914115e-12       1.593438116452e-03       3.915441212839e-08       1.236017996487e-12       1.619708566920e-01      -1.564905187364e-03      -5.043850600429e-01      -1.878277900536e-02      -1.430522832270e-03 
       2.271637335911e+02       6.930773009021e-04      -6.830510914577e-03      -8.404665366981e-08      -5.339871939050e-12       1.597790962471e-03       3.951340781778e-08       1.254501727340e-12       1.617510018521e-01      -1.564651282330e-03      -5.047067657159e-01      -1.882265876383e-02      -1.435504968368e-03 
       2.273047584464e+02       6.936335554510e-04      -6.852228640632e-03      -8.484087065184e-08      -5.419689247436e-12       1.602184438012e-03       3.987846235700e-08       1.273399311733e-12       1.615303651882e-01      -1.564394956719e-03      -5.050292730966e-01      -1.886273838188e-02      -1.440519468714e-03 
       2.274463127356e+02       6.941920555258e-04      -6.874205688723e-03      -8.564975100461e-08      -5.501416047508e-12       1.606619462374e-03       4.024972999501e-08       1.292723748690e-12       1.613089366699e-01      -1.564136182419e-03      -5.053525926844e-01      -1.890302037349e-02      -1.445566757869e-03 
       2.275884033753e+02       6.947528301951e-04      -6.896446423407e-03      -8.647365282230e-08      -5.585111589533e-12       1.611096960994e-03       4.062736901138e-08       1.312488485094e-12       1.610867061021e-01      -1.563874930781e-03      -5.056767351311e-01      -1.894350729711e-02      -1.450647268379e-03 
       2.277310373981e+02       6.953159090232e-04      -6.918955286495e-03      -8.731294461818e-08      -5.670837253941e-12       1.615617865955e-03       4.101154186425e-08       1.332707435118e-12       1.608636631220e-01      -1.563611172606e-03      -5.060017112430e-01      -1.898420175670e-02      -1.455761440967e-03 
       2.278742219552e+02       6.958813220807e-04      -6.941736799273e-03      -8.816800569456e-08      -5.758656643680e-12       1.620183116476e-03       4.140241534409e-08       1.353395000526e-12       1.606397971953e-01      -1.563344878129e-03      -5.063275319844e-01      -1.902510640272e-02      -1.460909724724e-03 
       2.280179643187e+02       6.964490999560e-04      -6.964795564819e-03      -8.903922652768e-08      -5.848635680978e-12       1.624793659425e-03       4.180016073359e-08       1.374566091885e-12       1.604150976126e-01      -1.563076017009e-03      -5.066542084802e-01      -1.906622393322e-02      -1.466092577316e-03 
       2.281622718844e+02       6.970192737661e-04      -6.988136270396e-03      -8.992700916829e-08      -5.940842708775e-12       1.629450449816e-03       4.220495397373e-08       1.396236150745e-12       1.601895534857e-01      -1.562804558317e-03      -5.069817520188e-01      -1.910755709486e-02      -1.471310465186e-03 
       2.283071521719e+02       6.975918751579e-04      -7.011763689510e-03      -9.083176764187e-08      -6.035348595267e-12       1.634154451233e-03       4.261697582881e-08       1.418421172427e-12       1.599631537483e-01      -1.562530470521e-03      -5.073101740488e-01      -1.914910868330e-02      -1.476563863668e-03 
