# Matter power spectrum P(k) at redshift z=0
# for k=1.04216e-05 to 1.08687 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.304144164193e-02       1.849460322833e+04 
       3.319352116728e-02       1.841783249391e+04 
       3.334617244750e-02       1.834106912785e+04 
       3.349941117231e-02       1.826431697585e+04 
       3.365325356492e-02       1.818757890077e+04 
       3.380771640518e-02       1.811085882343e+04 
       3.396281705389e-02       1.803416057249e+04 
       3.411857347851e-02       1.795748616224e+04 
       3.427500428033e-02       1.788083895820e+04 
       3.443212872304e-02       1.780422180734e+04 
       3.458996676307e-02       1.772763677485e+04 
       3.474853908157e-02       1.765108663906e+04 
       3.490786711831e-02       1.757457385342e+04 
       3.506797310751e-02       1.749809955573e+04 
       3.522888011587e-02       1.742166623636e+04 
       3.539061208285e-02       1.734527579163e+04 
       3.555319386338e-02       1.726892912359e+04 
       3.571665127327e-02       1.719262783875e+04 
       3.588101113735e-02       1.711637319920e+04 
       3.604630134077e-02       1.704016580435e+04 
       3.621255088345e-02       1.696400671457e+04 
       3.637978993817e-02       1.688789687621e+04 
       3.654804991238e-02       1.681183577984e+04 
       3.671736351414e-02       1.673582407598e+04 
       3.688776482253e-02       1.665986213841e+04 
       3.705928936276e-02       1.658394912419e+04 
       3.723197418660e-02       1.650808486240e+04 
       3.740585795829e-02       1.643226875357e+04 
       3.758098104665e-02       1.635649965253e+04 
       3.775738562376e-02       1.628077644126e+04 
       3.793511577081e-02       1.620509798126e+04 
       3.811421759188e-02       1.612946243266e+04 
       3.829473933609e-02       1.605386768771e+04 
       3.847673152919e-02       1.597831186086e+04 
       3.866024711519e-02       1.590279242047e+04 
       3.884534160920e-02       1.582730643486e+04 
       3.903207326230e-02       1.575185078997e+04 
       3.922050323983e-02       1.567642244363e+04 
       3.941069581424e-02       1.560101732258e+04 
       3.960271857402e-02       1.552563164676e+04 
       3.979664265033e-02       1.545026112815e+04 
       3.999254296308e-02       1.537490067962e+04 
       4.019049848858e-02       1.529954547095e+04 
       4.039059255096e-02       1.522419015952e+04 
       4.059291313992e-02       1.514882859868e+04 
       4.079755325774e-02       1.507345456074e+04 
       4.100461129875e-02       1.499806132686e+04 
       4.121419146494e-02       1.492264199222e+04 
       4.142640422191e-02       1.484718838336e+04 
       4.164136679983e-02       1.477169230609e+04 
