#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       2.053494936148e+02       6.097641621704e-04      -8.955370255784e-05       7.131551800272e-10       6.740708420730e-16      -4.556031843870e-04      -5.993728832482e-10      -2.246140700869e-16       1.962235142513e-01      -1.585666460086e-03      -4.503696076914e-01      -1.323798508816e-02      -8.103584948067e-04 
       2.058336562356e+02       6.115956982965e-04      -1.477801191435e-03       6.893788718266e-10       4.895389889626e-15      -3.346378046119e-04      -1.653724942171e-09      -2.402322844166e-15       1.954558077578e-01      -1.585605237764e-03      -4.516584190750e-01      -1.334870906050e-02      -8.213143859000e-04 
       2.063208582458e+02       6.134406038449e-04      -2.407212159503e-03      -1.047172579331e-09       8.516575562098e-15      -1.843216448750e-04      -2.470656381890e-09      -8.022791325980e-15       1.946833170959e-01      -1.585522102560e-03      -4.529518428673e-01      -1.346072241382e-02      -8.324584714404e-04 
       2.068111458899e+02       6.152990893508e-04      -3.047782475943e-03      -4.153014423887e-09       1.526602516048e-16      -2.641815168706e-05      -2.762424616689e-09      -1.644960070627e-14       1.939059799811e-01      -1.585417583778e-03      -4.542499033374e-01      -1.357404778522e-02      -8.437950285051e-04 
       2.073045680438e+02       6.171713762800e-04      -3.504213812978e-03      -8.010466037333e-09      -3.095717300771e-14       1.272811971535e-04      -2.478931108227e-09      -2.547472922820e-14       1.931237299969e-01      -1.585291883578e-03      -4.555526296628e-01      -1.368870873902e-02      -8.553284973353e-04 
       2.078011765271e+02       6.190576982794e-04      -3.841347452758e-03      -1.209587118844e-08      -9.031265553697e-14       2.708443067091e-04      -1.690300247586e-09      -3.244038992856e-14       1.923364962321e-01      -1.585144997913e-03      -4.568600563033e-01      -1.380472986024e-02      -8.670634946666e-04 
       2.083010264598e+02       6.209583026061e-04      -4.099642063488e-03      -1.606393109385e-08      -1.776107922431e-13       4.017278232715e-04      -5.134701356145e-10      -3.508271208054e-14       1.915442028043e-01      -1.584976790118e-03      -4.581722235792e-01      -1.392213686145e-02      -8.790048288339e-04 
       2.088041766717e+02       6.228734517622e-04      -4.304598964231e-03      -1.972832514879e-08      -2.883751640389e-13       5.193001959165e-04       9.289901415722e-10      -3.193765024468e-14       1.907467682777e-01      -1.584787035559e-03      -4.594891784282e-01      -1.404095670491e-02      -8.911575169349e-04 
       2.093106901695e+02       6.248034253673e-04      -4.472509278752e-03      -2.301568354206e-08      -4.160917129645e-13       6.239647855734e-04       2.528981647000e-09      -2.240254924711e-14       1.899441049705e-01      -1.584575448606e-03      -4.608109753320e-01      -1.416121774262e-02      -9.035268043845e-04 
       2.098206346684e+02       6.267485222848e-04      -4.613962046311e-03      -2.592225324803e-08      -5.539730325535e-13       7.166449502941e-04       4.200357525119e-09      -6.597931365284e-15       1.891361181554e-01      -1.584341698763e-03      -4.621376774004e-01      -1.428294987560e-02      -9.161181871124e-04 
       2.103340831965e+02       6.287090630453e-04      -4.735990932827e-03      -2.848155960401e-08      -6.960799925353e-13       7.984863990475e-04       5.879556252476e-09       1.484980224625e-14       1.883227051385e-01      -1.584085420033e-03      -4.634693576286e-01      -1.440618473589e-02      -9.289374368480e-04 
       2.108511147915e+02       6.306853926364e-04      -4.843391619069e-03      -3.074319557068e-08      -8.378500445178e-13       8.706894726338e-04       7.522986507805e-09       4.102770341319e-14       1.875037541934e-01      -1.583806216105e-03      -4.648061003583e-01      -1.453095589611e-02      -9.419906301453e-04 
       2.113718152880e+02       6.326778836626e-04      -4.939533629858e-03      -3.276028671420e-08      -9.761998170826e-13       9.344185433486e-04       9.103252185931e-09       7.091830456569e-14       1.866791433512e-01      -1.583503662780e-03      -4.661480029341e-01      -1.465729910786e-02      -9.552841814128e-04 
