# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:lum. dist.gw           9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)rho_ncdm[0]        14:(.)rho_ur             15:(.)rho_crit           16:U                     17:U_prime               18:V                     19:V_prime               20:gr.fac. D             21:gr.fac. f          
       8.697823467967e+13       9.987462967789e-26       5.326000973582e-09       1.632828970386e+22       1.416938464322e+04       1.629072456506e-10       1.232428062764e+18       1.232428062764e+18       3.075454203520e-09       1.575941485518e+44       1.626068809564e+33       8.763639644521e+33       1.087894771634e+44       2.294189277254e+41       2.666130446533e+44       9.911805936119e-13       2.671800841891e-03       2.538031397421e-67       1.476761398448e-57       7.093813918477e-18       1.999999999996e+00 
       8.637361934426e+13       1.012777683502e-25       5.364199751057e-09       1.610207169857e+22       1.416938464322e+04       1.640475963701e-10       1.223861035515e+18       1.223861035515e+18       3.096982382945e-09       1.532576655259e+44       1.592393909371e+33       8.582149975315e+33       1.057959413916e+44       2.231060582754e+41       2.592767129860e+44       1.092958236578e-12       2.786815002561e-03       3.135458740122e-67       1.732243578245e-57       7.193474910217e-18       1.999999999995e+00 
       8.577320689599e+13       1.027006197178e-25       5.402398528531e-09       1.587898779899e+22       1.416938464322e+04       1.651959295447e-10       1.215353560591e+18       1.215353560591e+18       3.118661259625e-09       1.490405085360e+44       1.559416395966e+33       8.404418847237e+33       1.028847780758e+44       2.169668986456e+41       2.521422535204e+44       1.199736923018e-12       2.900234946792e-03       3.838662018630e-67       2.018225714461e-57       7.294536039231e-18       1.999999999994e+00 
       8.517696811915e+13       1.041434607242e-25       5.438778316602e-09       1.565899458408e+22       1.416938464321e+04       1.663523010515e-10       1.206905224023e+18       1.206905224023e+18       3.140491888442e-09       1.449393941140e+44       1.527121826890e+33       8.230368423176e+33       1.000537205915e+44       2.109966689017e+41       2.452041113842e+44       1.311521876701e-12       3.012083841062e-03       4.661053059668e-67       2.336983299772e-57       7.397016976045e-18       1.999999999994e+00 
       8.458487400115e+13       1.056065722039e-25       5.476977094077e-09       1.544204923439e+22       1.416938464321e+04       1.675167671589e-10       1.198515614720e+18       1.198515614720e+18       3.162475331661e-09       1.409511291427e+44       1.495496058780e+33       8.059922477980e+33       9.730056468429e+43       2.051907206376e+41       2.384568845572e+44       1.428318520303e-12       3.122382945769e-03       5.617195003750e-67       2.690889921176e-57       7.500937667541e-18       1.999999999993e+00 
       8.399689573103e+13       1.070902389368e-25       5.515175871551e-09       1.522810952369e+22       1.416938464321e+04       1.686893845290e-10       1.190184324449e+18       1.190184324449e+18       3.184612658983e-09       1.370726083688e+44       1.464525241173e+33       7.893006365077e+33       9.462316675398e+43       1.995445333566e+41       2.318953196655e+44       1.550132511218e-12       3.231152439854e-03       6.722869050703e-67       3.082420905877e-57       7.606318340832e-18       1.999999999992e+00 
       8.341300469814e+13       1.085947497036e-25       5.555193638429e-09       1.501713381078e+22       1.416938464321e+04       1.698702102207e-10       1.181910947814e+18       1.181910947814e+18       3.206904947596e-09       1.333008119857e+44       1.434195810440e+33       7.729546983776e+33       9.201944218518e+43       1.940537109513e+41       2.255143078910e+44       1.676969806090e-12       3.338417591714e-03       7.995144459487e-67       3.514157126824e-57       7.713179507202e-18       1.999999999991e+00 
       8.283317249071e+13       1.101203973422e-25       5.593392415904e-09       1.480908103138e+22       1.416938464321e+04       1.710593016923e-10       1.173695082239e+18       1.173695082239e+18       3.229353282229e-09       1.296328032822e+44       1.404494483848e+33       7.569472747261e+33       8.948736372444e+43       1.887139782812e+41       2.193088809939e+44       1.808836563651e-12       3.444194945375e-03       9.452451954780e-67       3.988788929011e-57       7.821541966098e-18       1.999999999991e+00 
       8.225737089444e+13       1.116674788044e-25       5.633410182782e-09       1.460391069009e+22       1.416938464321e+04       1.722567168041e-10       1.165536327943e+18       1.165536327943e+18       3.251958755204e-09       1.260657263558e+44       1.375408253742e+33       7.412713551232e+33       8.702495990179e+43       1.835211778436e+41       2.132742074442e+44       1.945739233285e-12       3.548507984161e-03       1.111466068066e-66       4.509120164472e-57       7.931426809180e-18       1.999999999990e+00 
       8.168557189121e+13       1.132362952142e-25       5.671608960256e-09       1.440158285260e+22       1.416938464321e+04       1.734625138217e-10       1.157434287927e+18       1.157434287927e+18       3.274722466490e-09       1.225968038894e+44       1.346924381844e+33       7.259200743210e+33       8.463031349575e+43       1.784712665371e+41       2.074055886603e+44       2.087684479080e-12       3.651375386790e-03       1.300315886289e-66       5.078072396326e-57       8.042855424421e-18       1.999999999989e+00 
