#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:dU_nlde               22:dV_nlde            
       2.113718152880e+02       6.326778836626e-04      -2.422832740576e+00       4.288082368868e-03       1.557805833973e-03       3.767505274605e-03       7.998466196711e-06       7.535297747206e-04      -1.817543303488e+00       4.300375249446e-03       5.512142653670e-01       5.809895658019e-01      -2.305289651642e+00       2.684268186603e-03       1.105890281136e-01      -1.916630979546e+00       5.926290457637e-03      -2.299485025412e+00       2.697526458458e-03       1.101120288241e-01      -8.499300748585e-02       5.280578870129e-11 
       2.118962782074e+02       6.346869399203e-04      -2.427058158299e+00       4.291035879144e-03       1.569613862847e-03       3.793163196918e-03       8.107250036637e-06       7.586619512443e-04      -1.820718856813e+00       4.303492768204e-03       5.510284379743e-01       5.806831167758e-01      -2.308389817916e+00       2.676547985088e-03       1.108307916256e-01      -1.920661698669e+00       5.938691665582e-03      -2.302546642006e+00       2.689969041777e-03       1.103508920260e-01      -8.692492027250e-02       5.342586501422e-11 
       2.124246057548e+02       6.367130004068e-04      -2.431315956094e+00       4.293976189811e-03       1.581720926945e-03       3.819585329742e-03       8.220099644118e-06       7.639469905110e-04      -1.823918830807e+00       4.306601444344e-03       5.508411194659e-01       5.803746175708e-01      -2.311506514034e+00       2.668702116345e-03       1.110724965051e-01      -1.924728068422e+00       5.951173550183e-03      -2.305624324865e+00       2.682288714530e-03       1.105896776640e-01      -8.887694793255e-02       5.405606108567e-11 
       2.129569099193e+02       6.387565437585e-04      -2.435607033929e+00       4.296903142716e-03       1.594149009726e-03       3.846773348261e-03       8.337155037319e-06       7.693852307967e-04      -1.827143905555e+00       4.309701446708e-03       5.506522648564e-01       5.800640087801e-01      -2.314640205069e+00       2.660727571694e-03       1.113141421193e-01      -1.928831073935e+00       5.963738524292e-03      -2.308718554515e+00       2.674482599230e-03       1.108283861190e-01      -9.084959559094e-02       5.469666664497e-11 
       2.134933136639e+02       6.408180930675e-04      -2.439932380129e+00       4.299816595498e-03       1.606923188439e-03       3.874739219239e-03       8.458611432101e-06       7.749790682047e-04      -1.830394827853e+00       4.312792998150e-03       5.504618244460e-01       5.797512248794e-01      -2.317791411638e+00       2.652621115436e-03       1.115557304259e-01      -1.932971790756e+00       5.976389248556e-03      -2.311829805659e+00       2.666547529635e-03       1.110670174135e-01      -9.284341334687e-02       5.534799202052e-11 
       2.140339521714e+02       6.428982209455e-04      -2.444293081459e+00       4.302716423477e-03       1.620071932934e-03       3.903504809036e-03       8.584717618245e-06       7.807328786048e-04      -1.833672418818e+00       4.315876379517e-03       5.502697433468e-01       5.794361935351e-01      -2.320960716233e+00       2.644379258034e-03       1.117972662684e-01      -1.937151395166e+00       5.989128659397e-03      -2.314958664021e+00       2.658480153597e-03       1.113055768248e-01      -9.485900150882e-02       5.601037046612e-11 
       2.145789740794e+02       6.449975545896e-04      -2.448690333141e+00       4.305602521540e-03       1.633627234341e-03       3.933101661312e-03       8.715775129086e-06       7.866529733833e-04      -1.836977581459e+00       4.318951931617e-03       5.500759610009e-01       5.791188349173e-01      -2.324148769371e+00       2.635998228351e-03       1.120387576297e-01      -1.941371174546e+00       6.001959996590e-03      -2.318105742100e+00       2.650276801175e-03       1.115440707916e-01      -9.689701587571e-02       5.668416058964e-11 
       2.151285425959e+02       6.471167804247e-04      -2.453125447878e+00       4.308474805758e-03       1.647624497969e-03       3.963570824890e-03       8.852137121489e-06       7.927475651434e-04      -1.840311307508e+00       4.322020053611e-03       5.498804108841e-01       5.787990610974e-01      -2.327356294871e+00       2.627473946616e-03       1.122802157940e-01      -1.945632536878e+00       6.014886827794e-03      -2.321271750680e+00       2.641933534664e-03       1.117825102733e-01      -9.895817265017e-02       5.736974875129e-11 
       2.156828363245e+02       6.492566476623e-04      -2.457599862595e+00       4.311333214553e-03       1.662102092448e-03       3.994962594897e-03       8.994205716478e-06       7.990267160080e-04      -1.843674682524e+00       4.325081195989e-03       5.496830203682e-01       5.784767756034e-01      -2.330584093345e+00       2.618802000923e-03       1.125216553443e-01      -1.949937018133e+00       6.027913066135e-03      -2.324457461737e+00       2.633446078199e-03       1.120209088024e-01      -1.010432523325e-01       5.806755121295e-11 
       2.162420495554e+02       6.514179698261e-04      -2.462115140788e+00       4.314177708841e-03       1.677100412996e-03       4.027335998416e-03       9.142426341189e-06       8.055022347786e-04      -1.847068887707e+00       4.328135845274e-03       5.494837109595e-01       5.781518733073e-01      -2.333833042399e+00       2.609977631349e-03       1.127630938962e-01      -1.954286285531e+00       6.041042975060e-03      -2.327663724589e+00       2.624809819307e-03       1.122592830034e-01      -1.031531016511e-01       5.877801571021e-11 
       2.168063917053e+02       6.536016230029e-04      -2.466672968098e+00       4.317008270497e-03       1.692660309471e-03       4.060757818829e-03       9.297277513424e-06       8.121874817898e-04      -1.850495196598e+00       4.331184498373e-03       5.492823990020e-01       5.778242407860e-01      -2.337104091907e+00       2.600995727272e-03       1.130045514467e-01      -1.958682134279e+00       6.054281153246e-03      -2.330891469716e+00       2.616019813570e-03       1.124976523778e-01      -1.052886322885e-01       5.950162200209e-11 
       2.173760855550e+02       6.558085394289e-04      -2.471275138062e+00       4.319824897818e-03       1.708820790286e-03       4.095300931326e-03       9.459254839766e-06       8.190970359524e-04      -1.853954964385e+00       4.334227624601e-03       5.490789970292e-01       5.774937574002e-01      -2.340398252227e+00       2.591850844354e-03       1.132460492105e-01      -1.963126474853e+00       6.067632491329e-03      -2.334141668999e+00       2.607070766284e-03       1.127360368165e-01      -1.074508149959e-01       6.023888087343e-11 
       2.179513640073e+02       6.580396952981e-04      -2.475923525985e+00       4.322627596100e-03       1.725616118100e-03       4.131041757228e-03       9.628849370859e-06       8.262461855120e-04      -1.857449608263e+00       4.337265618108e-03       5.488734158127e-01       5.771602972023e-01      -2.343716574071e+00       2.582537246882e-03       1.134876078630e-01      -1.967621308669e+00       6.081102094298e-03      -2.337415363860e+00       2.597957123842e-03       1.129744572111e-01      -1.096406679455e-01       6.099033112600e-11 
       2.185324654189e+02       6.602960929553e-04      -2.480620051178e+00       4.325416360231e-03       1.743072895412e-03       4.168056816038e-03       9.806523974212e-06       8.336502383249e-04      -1.860980579004e+00       4.340298750333e-03       5.486655668978e-01       5.768237316819e-01      -2.347060120316e+00       2.573048976027e-03       1.137292452551e-01      -1.972168692345e+00       6.094695170937e-03      -2.340713576474e+00       2.588673068205e-03       1.132129302655e-01      -1.118592394099e-01       6.175653449900e-11 
       2.191196284017e+02       6.625787409067e-04      -2.485366634933e+00       4.328191144620e-03       1.761208712174e-03       4.206418801868e-03       9.992698894740e-06       8.413237370386e-04      -1.864549329334e+00       4.343327149839e-03       5.484553648893e-01       5.764839327814e-01      -2.350429935218e+00       2.563379930664e-03       1.139709740119e-01      -1.976770697537e+00       6.108416911563e-03      -2.344037353297e+00       2.579212676853e-03       1.134514697056e-01      -1.141075880865e-01       6.253806957959e-11 
       2.197130887537e+02       6.648886419824e-04      -2.490165175556e+00       4.330951813427e-03       1.780035714600e-03       4.246193567819e-03       1.018777208326e-05       8.492798560301e-04      -1.868157295134e+00       4.346350865129e-03       5.482427275467e-01       5.761407746908e-01      -2.353827026130e+00       2.553523916944e-03       1.142128001145e-01      -1.981429387072e+00       6.122272416035e-03      -2.347387663224e+00       2.569569884029e-03       1.136900807751e-01      -1.163867712553e-01       6.333552822841e-11 
       2.203130845019e+02       6.672268130522e-04      -2.495017588971e+00       4.333698060891e-03       1.799575503649e-03       4.287441229495e-03       1.039222547588e-05       8.575306226417e-04      -1.871805926083e+00       4.349370117711e-03       5.480275698448e-01       5.757941309374e-01      -2.357252391763e+00       2.543474563798e-03       1.144547248082e-01      -1.986146854728e+00       6.136266811183e-03      -2.350765507688e+00       2.559738511738e-03       1.139287659780e-01      -1.186978640305e-01       6.414952284772e-11 
       2.209198808481e+02       6.695943825910e-04      -2.499926010039e+00       4.336429287250e-03       1.819896686856e-03       4.330227824003e-03       1.060691131239e-05       8.660892505571e-04      -1.875496837474e+00       4.352385931472e-03       5.478097846502e-01       5.754438600584e-01      -2.360707162916e+00       2.533224895975e-03       1.146967542687e-01      -1.990925422109e+00       6.150405830424e-03      -2.354171954917e+00       2.549711793594e-03       1.141675292616e-01      -1.210420559874e-01       6.498072145378e-11 
