# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.34
# for k=1.02462e-05 to 1.06981 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       8.955250248813e-04      -2.610942446148e+00      -4.053536715489e+00      -4.054156668574e+00      -2.532332491322e+00      -3.983033332288e+00      -4.052471774239e+00      -5.100094584223e-05       6.481199400539e-04       6.482636332194e-04      -6.176796947557e-05       6.404334148694e-04       6.474005448352e-04 
       9.556202788876e-04      -2.570942696571e+00      -4.443792634341e+00      -4.444557544248e+00      -2.482800939866e+00      -4.352861348800e+00      -4.442383172114e+00      -6.734172691051e-05       7.373091111456e-04       7.374834551827e-04      -7.656443309661e-05       7.274295919095e-04       7.364850327006e-04 
       1.019334830977e-03      -2.521916212515e+00      -4.884441007469e+00      -4.885377944462e+00      -2.425122259597e+00      -4.767542527831e+00      -4.882633479181e+00      -7.702295766222e-05       8.380057562883e-04       8.382154645945e-04      -8.351888165833e-05       8.253422306496e-04       8.370731046190e-04 
       1.086692367330e-03      -2.470130304202e+00      -5.380235363617e+00      -5.381373730981e+00      -2.366256413802e+00      -5.230529597193e+00      -5.377973700640e+00      -7.758016979714e-05       9.512930256992e-04       9.515429085331e-04      -8.003617534354e-05       9.351166236743e-04       9.502489885256e-04 
       1.157677608154e-03      -2.423219828407e+00      -5.935876932387e+00      -5.937247787082e+00      -2.314502399454e+00      -5.745009417835e+00      -5.933102206756e+00      -6.769121879674e-05       1.078241568454e-03       1.078536365122e-03      -6.480597459520e-05       1.057663178834e-03       1.077082823072e-03 
       1.232236996392e-03      -2.388899183394e+00      -6.555920571086e+00      -6.557555761090e+00      -2.278087568443e+00      -6.313806215897e+00      -6.552569435132e+00      -4.801868721157e-05       1.219888085687e-03       1.220232302983e-03      -3.869245737201e-05       1.193835700972e-03       1.218608257740e-03 
       1.310281343008e-03      -2.373188905050e+00      -7.244687607397e+00      -7.246618830737e+00      -2.263270896829e+00      -6.939301430375e+00      -7.240689218077e+00      -2.181915892554e-05       1.377215514612e-03       1.377613303053e-03      -5.355843896007e-06       1.344412236001e-03       1.375801992179e-03 
       1.391690135111e-03      -2.378535109962e+00      -8.006165211449e+00      -8.008423308124e+00      -2.272375268730e+00      -7.623356515164e+00      -8.001436904441e+00       5.044605041207e-06       1.551131150854e-03       1.551586247527e-03       2.877918187622e-05       1.510075020819e-03       1.549561989564e-03 
       1.476317042650e-03      -2.402457383284e+00      -8.844020274407e+00      -8.846634355549e+00      -2.302442105033e+00      -8.367338882093e+00      -8.838461985812e+00       2.499745052576e-05       1.742467140801e-03       1.742982900592e-03       5.551870431303e-05       1.691412861117e-03       1.740709111003e-03 
       1.563996075813e-03      -2.437292897042e+00      -9.761498014180e+00      -9.764495403943e+00      -2.345064305561e+00      -9.172071470632e+00      -9.754987507371e+00       3.062133222960e-05       1.951960190088e-03       1.952539700628e-03       6.690851920114e-05       1.888904451977e-03       1.949969124774e-03 
       1.654547853204e-03      -2.471543642005e+00      -1.076141783554e+01      -1.076482449617e+01      -2.387925471087e+00      -1.003786945160e+01      -1.075380773246e+01       1.716689164330e-05       2.180250034880e-03       2.180896295952e-03       5.787739394445e-05       2.102920182115e-03       2.177974171833e-03 
       1.747785523160e-03      -2.492748060367e+00      -1.184617301614e+01      -1.185001458864e+01      -2.417896378700e+00      -1.096458773572e+01      -1.183729109092e+01      -1.506310423609e-05       2.427879394282e-03       2.428595523600e-03       2.867750924592e-05       2.333725532875e-03       2.425265505694e-03 
       1.843520006759e-03      -2.491219102105e+00      -1.301774252713e+01      -1.302204595235e+01      -2.424944746476e+00      -1.195168193452e+01      -1.300739595794e+01      -5.948721024099e-05       2.695296725172e-03       2.696086148850e-03      -1.395329228381e-05       2.581486980295e-03       2.692297626822e-03 
       1.941564369186e-03      -2.463469945158e+00      -1.427771391432e+01      -1.428250948245e+01      -2.405594671618e+00      -1.299827791800e+01      -1.426569703981e+01      -1.040701624777e-04       2.982861451395e-03       2.983728048250e-03      -5.780000025436e-05       2.846279783526e-03       2.979442468126e-03 
       2.041737250992e-03      -2.413999789912e+00      -1.562731363658e+01      -1.563263723924e+01      -2.364569104334e+00      -1.410324334762e+01      -1.561341753974e+01      -1.344787656591e-04       3.290850854367e-03       3.291799044849e-03      -8.855838577827e-05       3.128096665325e-03       3.286992542278e-03 
       2.143865387495e-03      -2.354497102995e+00      -1.706744197938e+01      -1.707333729255e+01      -2.313712542074e+00      -1.526525591277e+01      -1.705146337578e+01      -1.388905719463e-04       3.619468002548e-03       3.620502796120e-03      -9.479894552185e-05       3.426856679950e-03       3.615163269784e-03 
       2.247785308725e-03      -2.300384912987e+00      -1.859870961209e+01      -1.860522995311e+01      -2.268237330850e+00      -1.648286366978e+01      -1.858045649444e+01      -1.128452574505e-04       3.968850070202e-03       3.969977098184e-03      -7.277068032534e-05       3.742413639844e-03       3.964095739155e-03 
       2.353344346352e-03      -2.265692351179e+00      -2.022147408992e+01      -2.022868372642e+01      -2.241433511801e+00      -1.775453502241e+01      -2.020076649546e+01      -6.209601332744e-05       4.339076688855e-03       4.340302245488e-03      -2.894952148970e-05       4.074563845579e-03       4.333861897661e-03 
       2.460401084583e-03      -2.258049409261e+00      -2.193587429540e+01      -2.194384906806e+01      -2.239759587981e+00      -1.907869635109e+01      -2.191254021082e+01      -1.837326608232e-06       4.730177860478e-03       4.731508953617e-03       2.121384989648e-05       4.423052826679e-03       4.724473515868e-03 
       2.568825386457e-03      -2.275766508704e+00      -2.374186229904e+01      -2.375068950401e+01      -2.260290169456e+00      -2.045375762017e+01      -2.371573048116e+01       4.803420875112e-05       5.142141309675e-03       5.143585693773e-03       5.848160875011e-05       4.787581190225e-03       5.135895097999e-03 
       2.678498112078e-03      -2.308309818780e+00      -2.563923175987e+01      -2.564900931630e+01      -2.291709357484e+00      -2.187812648764e+01      -2.561012441705e+01       7.025385123768e-05       5.574919027955e-03       5.576485170658e-03       6.731838149381e-05       5.167809594257e-03       5.568058809319e-03 
       2.789310626313e-03      -2.340201809512e+00      -2.762764301930e+01      -2.763847803533e+01      -2.318655801118e+00      -2.335021297687e+01      -2.759537134530e+01       5.733528383038e-05       6.028433018441e-03       6.030129952130e-03       4.271890605060e-05       5.563363124156e-03       6.020878178908e-03 
