# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       7.154600909790e+13       1.476065810037e-25       6.475602276623e-09       1.104816517233e+22       1.419596753721e+04       1.984173221708e-10       1.015664822571e+18       3.738820606680e-09       7.215050682352e+43       9.042158940183e+32       4.796133876789e+33       1.660217291597e+43       3.694949733521e-08       3.330927392981e+43       1.220619536750e+44       1.048408464673e-17       1.999999999978e+00 
       7.104866841896e+13       1.496803058602e-25       6.521077011712e-09       1.089509991364e+22       1.419596753721e+04       1.998062434260e-10       1.008604590438e+18       3.764992350927e-09       7.016515742429e+43       8.854901305054e+32       4.696808849053e+33       1.614533462785e+43       3.694949733521e-08       3.239271007050e+43       1.187032021282e+44       1.063137555193e-17       1.999999999977e+00 
       7.055478492449e+13       1.517831644772e-25       6.566551746801e-09       1.074415527617e+22       1.419596753721e+04       2.012048871300e-10       1.001593436383e+18       3.791347297383e-09       6.823443844155e+43       8.671521662133e+32       4.599540782483e+33       1.570106705698e+43       3.694949733521e-08       3.150136709442e+43       1.154368725984e+44       1.078073574706e-17       1.999999999977e+00 
       7.006433458242e+13       1.539155661549e-25       6.612026481889e-09       1.059530188006e+22       1.419596753721e+04       2.026133213399e-10       9.946310192484e+17       3.817886728465e-09       6.635684662230e+43       8.491939700550e+32       4.504287078660e+33       1.526902429773e+43       3.694949733521e-08       3.063455100415e+43       1.122604219295e+44       1.093219430356e-17       1.999999999976e+00 
       6.957729352772e+13       1.560779259438e-25       6.659320206381e-09       1.044851075250e+22       1.419596753721e+04       2.040316145893e-10       9.877170002467e+17       3.844611935564e-09       6.453092007824e+43       8.316076772625e+32       4.411006021352e+33       1.484886996271e+43       3.694949733521e-08       2.979158689885e+43       1.091713769450e+44       1.108578070133e-17       1.999999999976e+00 
       6.909363806129e+13       1.582706647254e-25       6.704794941470e-09       1.030375332208e+22       1.419596753721e+04       2.054598358914e-10       9.808510429461e+17       3.871524219112e-09       6.275523714753e+43       8.143855859423e+32       4.319656758243e+33       1.444027692078e+43       3.694949733521e-08       2.897181844877e+43       1.061673325222e+44       1.124152483440e-17       1.999999999975e+00 
       6.861334464875e+13       1.604942092941e-25       6.752088665962e-09       1.016100141322e+22       1.419596753721e+04       2.068980547426e-10       9.740328132533e+17       3.898624888646e-09       6.102841528786e+43       7.975201537026e+32       4.230199283046e+33       1.404292704243e+43       3.694949733521e-08       2.817460738423e+43       1.032459497195e+44       1.139945701680e-17       1.999999999975e+00 
       6.813638991932e+13       1.627489924405e-25       6.799382390454e-09       1.002022724072e+22       1.419596753721e+04       2.083463411258e-10       9.672619793975e+17       3.925915262866e-09       5.934911000004e+43       7.810039943497e+32       4.142594417979e+33       1.365651095203e+43       3.694949733521e-08       2.739933299869e+43       1.004049539557e+44       1.155960798843e-17       1.999999999974e+00 
       6.766275066466e+13       1.650354530353e-25       6.846676114947e-09       9.881403404296e+21       1.419596753721e+04       2.098047655137e-10       9.605382119141e+17       3.953396669706e-09       5.771601378117e+43       7.648298746537e+32       4.056803796609e+33       1.328072778698e+43       3.694949733521e-08       2.664539166546e+43       9.764213323843e+43       1.172200892105e-17       1.999999999974e+00 
       6.719240383780e+13       1.673540361150e-25       6.895788828842e-09       9.744502883290e+21       1.419596753721e+04       2.112733988723e-10       9.538611836287e+17       3.981070446393e-09       5.612785510661e+43       7.489907111806e+32       3.972789847046e+33       1.291528496344e+43       3.694949733521e-08       2.591219636768e+43       9.495533644245e+43       1.188669142438e-17       1.999999999973e+00 
       6.672532655193e+13       1.697051929683e-25       6.943082553335e-09       9.609499031400e+21       1.419596753721e+04       2.127523126644e-10       9.472305696412e+17       4.008937939518e-09       5.458339743996e+43       7.334795671897e+32       3.890515775495e+33       1.255989794855e+43       3.694949733521e-08       2.519917624133e+43       9.234247163447e+43       1.205368755220e-17       1.999999999973e+00 
       6.626149607938e+13       1.720893812243e-25       6.992195267230e-09       9.476365571488e+21       1.419596753721e+04       2.142415788531e-10       9.406460473100e+17       4.037000505094e-09       5.308143827036e+43       7.182896495964e+32       3.809945550135e+33       1.221429003886e+43       3.694949733521e-08       2.450577613073e+43       8.980150444447e+43       1.222302980862e-17       1.999999999972e+00 
       6.580088985043e+13       1.745070649411e-25       7.041307981126e-09       9.345076590470e+21       1.419596753721e+04       2.157412699050e-10       9.341072962364e+17       4.065259508630e-09       5.162080817613e+43       7.034143059964e+32       3.731043885343e+33       1.187819214491e+43       3.694949733521e-08       2.383145615627e+43       8.733045648175e+43       1.239475115440e-17       1.999999999972e+00 
       6.534348545226e+13       1.769587146965e-25       7.090420695022e-09       9.215606534271e+21       1.419596753721e+04       2.172514587944e-10       9.276139982486e+17       4.093716325190e-09       5.020036991434e+43       6.888470217528e+32       3.653776226242e+33       1.155134258173e+43       3.694949733521e-08       2.317569129410e+43       8.492740379451e+43       1.256888501337e-17       1.999999999972e+00 
