#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       2.246274469496e+02       6.811910777074e-04      -6.423053605092e-03      -7.007346795839e-08      -4.008923762103e-12       1.513838065076e-03       3.300393392057e-08       9.354438442563e-13       1.656132815449e-01      -1.569835365657e-03      -4.990791333611e-01      -1.811722138164e-02      -1.348055645361e-03 
       2.252829451452e+02       6.837537043786e-04      -6.508819711155e-03      -7.287127246939e-08      -4.265762740513e-12       1.532317490664e-03       3.433693329888e-08       9.982579651039e-13       1.645846100471e-01      -1.568753703920e-03      -5.006084582105e-01      -1.829971775153e-02      -1.370345528078e-03 
       2.259486917184e+02       6.863598208707e-04      -6.599295695385e-03      -7.590640933050e-08      -4.550360985248e-12       1.551430092434e-03       3.576721139349e-08       1.067180552786e-12       1.635405924649e-01      -1.567622157319e-03      -5.021531227430e-01      -1.848620824191e-02      -1.393282447095e-03 
       2.266253273468e+02       6.890120995799e-04      -6.694883212915e-03      -7.920709107192e-08      -4.866975109782e-12       1.571282097031e-03       3.730780113661e-08       1.143197052645e-12       1.624802821079e-01      -1.566438138397e-03      -5.037141334569e-01      -1.867692754646e-02      -1.416905734016e-03 
       2.275581587614e+02       6.926744604775e-04      -6.832943613090e-03      -8.414647846459e-08      -5.354621571410e-12       1.599469346398e-03       3.959089604626e-08       1.259241077244e-12       1.610198418189e-01      -1.564749831799e-03      -5.058513224467e-01      -1.894180804008e-02      -1.449993489944e-03 
       2.276991567767e+02       6.932286179311e-04      -6.854465544622e-03      -8.493492823575e-08      -5.433989731716e-12       1.603820091851e-03       3.995328420697e-08       1.278031179381e-12       1.607992335684e-01      -1.564489010361e-03      -5.061728503093e-01      -1.898204146136e-02      -1.455047589494e-03 
       2.278406799882e+02       6.937849951989e-04      -6.876244030962e-03      -8.573787386745e-08      -5.515246806733e-12       1.608212134520e-03       4.032182310793e-08       1.297243982640e-12       1.605778406718e-01      -1.564225732199e-03      -5.064951753793e-01      -1.902247666614e-02      -1.460134554804e-03 
       2.279827352352e+02       6.943436209165e-04      -6.898283365756e-03      -8.655566761253e-08      -5.598451118682e-12       1.612646382401e-03       4.069666837724e-08       1.316892719880e-12       1.603556530579e-01      -1.563959968735e-03      -5.068183081033e-01      -1.906311619398e-02      -1.465254817334e-03 
       2.281253294714e+02       6.949045242061e-04      -6.920587918501e-03      -8.738867191869e-08      -5.683663075031e-12       1.617123750118e-03       4.107797975013e-08       1.336991082754e-12       1.601326604902e-01      -1.563691690842e-03      -5.071422590787e-01      -1.910396262942e-02      -1.470408816662e-03 
       2.282684697672e+02       6.954677346863e-04      -6.943162136682e-03      -8.823725978993e-08      -5.770945258571e-12       1.621645159407e-03       4.146592121758e-08       1.357553241378e-12       1.599088525638e-01      -1.563420868835e-03      -5.074670390567e-01      -1.914501860299e-02      -1.475597000683e-03 
