#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]      
       2.124726372259e+02       6.342788388019e-04      -2.432231463253e+00       4.293220263143e-03       1.569812285854e-03       3.794696555811e-03       8.107248652860e-06       7.589686136647e-04      -1.824602454500e+00       4.305734659352e-03       5.504660361325e-01       5.802694954335e-01      -2.312340015811e+00       2.667411711906e-03       1.111363611356e-01      -1.925782264999e+00       5.957139423206e-03      -2.308230540058e+00       2.676889903665e-03       1.108024332846e-01 
       2.130006386994e+02       6.362927937238e-04      -2.436497171945e+00       4.296085459445e-03       1.581807555673e-03       3.820906299051e-03       8.219179435726e-06       7.642111700668e-04      -1.827808387855e+00       4.308767886365e-03       5.502770757247e-01       5.799589297902e-01      -2.315457348224e+00       2.659464897264e-03       1.113757498467e-01      -1.929862633632e+00       5.969612249566e-03      -2.311320541636e+00       2.669060638889e-03       1.110398788321e-01 
       2.135325792102e+02       6.383239682934e-04      -2.440795905429e+00       4.298936424523e-03       1.594115765333e-03       3.847868065112e-03       8.335233365458e-06       7.696041543899e-04      -1.831039230024e+00       4.311791490025e-03       5.500865800096e-01       5.796462536695e-01      -2.318591429140e+00       2.651389255883e-03       1.116150321143e-01      -1.933979480321e+00       5.982167239748e-03      -2.314426967030e+00       2.661104613889e-03       1.112772066666e-01 
       2.140685783438e+02       6.403728688324e-04      -2.445128626095e+00       4.301772988002e-03       1.606761030730e-03       3.875592471939e-03       8.455596041313e-06       7.751496929098e-04      -1.834295708251e+00       4.314805654957e-03       5.498945001977e-01       5.793314028429e-01      -2.321742760243e+00       2.643181596300e-03       1.118542079911e-01      -1.938133857198e+00       5.994806975922e-03      -2.317550290065e+00       2.653018698140e-03       1.115144157271e-01 
       2.146087674936e+02       6.424400492462e-04      -2.449496391605e+00       4.304594994379e-03       1.619770774292e-03       3.904099827762e-03       8.580505380854e-06       7.808518497968e-04      -1.837578621716e+00       4.317810620244e-03       5.497007825916e-01       5.790143064530e-01      -2.324911902877e+00       2.634838479191e-03       1.120932802280e-01      -1.942326914140e+00       6.007534306566e-03      -2.320691062269e+00       2.644799542616e-03       1.117515085252e-01 
       2.151532910859e+02       6.445261160096e-04      -2.453900364889e+00       4.307402304685e-03       1.633175882714e-03       3.933419913254e-03       8.710250929729e-06       7.867165837551e-04      -1.840888849080e+00       4.320806681785e-03       5.495053679173e-01       5.786948863174e-01      -2.328099484214e+00       2.626356189843e-03       1.123322545266e-01      -1.946559909097e+00       6.020352373885e-03      -2.323849896428e+00       2.636443526659e-03       1.119884903133e-01 
       2.157023077170e+02       6.466317328518e-04      -2.458341823320e+00       4.310194797904e-03       1.647010655703e-03       3.963591831500e-03       8.845173071417e-06       7.927517181482e-04      -1.844227355435e+00       4.323794191310e-03       5.493081909035e-01       5.783730563134e-01      -2.331306202656e+00       2.617730710883e-03       1.125711397138e-01      -1.950834217743e+00       6.033264638853e-03      -2.327027462619e+00       2.627946720527e-03       1.122253688120e-01 
       2.162559910488e+02       6.487576245523e-04      -2.462822166058e+00       4.312972372088e-03       1.661312448119e-03       3.994663799999e-03       8.985660980409e-06       7.989668994751e-04      -1.847595197859e+00       4.326773550818e-03       5.491091804281e-01       5.780487218816e-01      -2.334532831796e+00       2.608957697818e-03       1.128099477745e-01      -1.955151341433e+00       6.046274900532e-03      -2.330224531370e+00       2.619304905256e-03       1.124621561455e-01 
       2.168145302434e+02       6.509045789960e-04      -2.467342917548e+00       4.315734944650e-03       1.676120872542e-03       4.026692729549e-03       9.132147953462e-06       8.053735131812e-04      -1.850993528093e+00       4.329745199372e-03       5.489082591050e-01       5.777217798292e-01      -2.337780221470e+00       2.600032461066e-03       1.130486936525e-01      -1.959512911558e+00       6.059387304302e-03      -2.333441909784e+00       2.610513480343e-03       1.126988655197e-01 
       2.173781296421e+02       6.530734463414e-04      -2.471905725007e+00       4.318482451355e-03       1.691476413995e-03       4.059743398245e-03       9.285102607996e-06       8.119845184524e-04      -1.854423590686e+00       4.332709590550e-03       5.487053445812e-01       5.773921185510e-01      -2.341049294428e+00       2.590949959730e-03       1.132873947075e-01      -1.963920688125e+00       6.072606332406e-03      -2.336680525935e+00       2.601567554439e-03       1.129355149382e-01 
       2.179470073472e+02       6.552651339648e-04      -2.476512346930e+00       4.321214842887e-03       1.707418346838e-03       4.093887001238e-03       9.445014615000e-06       8.188141581174e-04      -1.857886714371e+00       4.335667157995e-03       5.485003498363e-01       5.770596189142e-01      -2.344341036546e+00       2.581704813323e-03       1.135260697041e-01      -1.968376549675e+00       6.085936768739e-03      -2.339941315316e+00       2.592461837352e-03       1.131721211964e-01 
       2.185213924042e+02       6.574805959713e-04      -2.481164630323e+00       4.323932077408e-03       1.723981999678e-03       4.129198872477e-03       9.612374645655e-06       8.258775029019e-04      -1.861384294956e+00       4.338618270829e-03       5.482931860142e-01       5.767241559344e-01      -2.347656479094e+00       2.572291337593e-03       1.137647372376e-01      -1.972882472197e+00       6.099383631122e-03      -2.343225321917e+00       2.583190803974e-03       1.134087040863e-01 
